Team Name,Leader Name,Leader Email,Leader Phone,Leader College,Members
Ab quasi,Ritvik Kaur,ritvikkaur@example.com,3940885478,Jadavpur University,"ritvikkaur@example.com, drishyajohal@example.com"
A natus,Samiha Amble,samihaamble@example.com,918066106332,Heritage Institute Of Technology ,samihaamble@example.com
Ad eum,Trisha Keer,trishakeer@example.com,9717954864,Jadavpur University,"trishakeer@example.com, drishyadixit@example.com, adviktrivedi@example.com"
Necessitatibus omnis,Prerak Sachdeva,preraksachdeva@example.com,1946988095,St.Xaviers College Autonomous ,"preraksachdeva@example.com, tejaskannan@example.com, ayeshalad@example.com"
Deserunt,Indrajit Desai,indrajitdesai@example.com,915719983932,Jadavpur University ,indrajitdesai@example.com
Minus mollitia,Elakshi Karpe,elakshikarpe@example.com,5573995171,Jadavpur University,"elakshikarpe@example.com, devanshrama@example.com"
Voluptatibus,Kabir Chada,kabirchada@example.com,910873216500,Jadavpur University,"kabirchada@example.com, yuvrajdara@example.com"
Magnam id,Ishaan Iyengar,ishaaniyengar@example.com,917629600419,Jadavpur University,"ishaaniyengar@example.com, kavyaraval@example.com"
Facilis facilis,Mahika Kadakia,mahikakadakia@example.com,917889878038,RCC Institute Of Information Technology,mahikakadakia@example.com
Quis,Ela Chaudry,elachaudry@example.com,2599283146,Haldia institute of technology ,elachaudry@example.com
Tempora quod,Tushar Chaudhari,tusharchaudhari@example.com,3123788242,Jadavpur University,"tusharchaudhari@example.com, reneelanka@example.com, indranildass@example.com"
Consequuntur incidunt,Nehmat Sawhney,nehmatsawhney@example.com,917474056852,"Heritage Institute of Technology, Kolkata","nehmatsawhney@example.com, parinaazdugar@example.com, amanikar@example.com"
Quisquam,Jhanvi Choudhury,jhanvichoudhury@example.com,2453845926,Jadavpur University,jhanvichoudhury@example.com
Dolores dolores,Emir Vyas,emirvyas@example.com,6324050813,JU,"emirvyas@example.com, dhanukkorpal@example.com, ojaskale@example.com"
Atque,Akarsh Din,akarshdin@example.com,6904501084,JU,"akarshdin@example.com, sakshamdate@example.com"
Harum corrupti,Anaya Ratti,anayaratti@example.com,919080297730,jadavpur university,"anayaratti@example.com, sanamajumdar@example.com, aniruddhbava@example.com"
Repudiandae,Tarini Karan,tarinikaran@example.com,6449838116,"JADAVPUR UNIVERSITY, KOLKATA","tarinikaran@example.com, anahichandran@example.com, divyanshdugal@example.com"
Quae delectus,Yakshit Sarna,yakshitsarna@example.com,919626300878,Jadavpur University,"yakshitsarna@example.com, anyabhatnagar@example.com, nirvibuch@example.com"
Unde,Ivana Dhillon,ivanadhillon@example.com,8235233523,jalpaiguri government engineering college,"ivanadhillon@example.com, riyathakur@example.com"
Sint consectetur,Anahita Shetty,anahitashetty@example.com,8892115993,St. Xavier's college ,"anahitashetty@example.com, zaindani@example.com, kashvitandon@example.com"
Ipsam enim,Indranil Bhasin,indranilbhasin@example.com,3093665172,Jadavpur University ,"indranilbhasin@example.com, advikabhardwaj@example.com"
Tempore,Keya Rattan,keyarattan@example.com,915127852121,Jadavpur University ,keyarattan@example.com
Nihil,Neelofar Bhavsar,neelofarbhavsar@example.com,6292098712,Jadavpur University,"neelofarbhavsar@example.com, shanayaiyengar@example.com"
Laboriosam vel,Divyansh Tiwari,divyanshtiwari@example.com,4371152331,Brainware University,"divyanshtiwari@example.com, arhaanraju@example.com, nirvaanvohra@example.com"
Officiis quaerat,Shaan Subramaniam,shaansubramaniam@example.com,2860305971,Heritage Institute of Technology technology ,"shaansubramaniam@example.com, dishanibabu@example.com"
Numquam,Urvi Apte,urviapte@example.com,7323415510,"University of Engineering and Management, Kolkata","urviapte@example.com, arnavbedi@example.com"
Occaecati rerum,Farhan Varma,farhanvarma@example.com,3430854416,Jadavpur University,"farhanvarma@example.com, mohanlalbhalla@example.com"
Fugit,Anay D’Alia,anaydalia@example.com,215064612,Jadavpur University,anaydalia@example.com
Dolorum beatae,Lagan Doctor,lagandoctor@example.com,6790467347,"Heritage Institute of Technology, Kolkata","lagandoctor@example.com, anaysarin@example.com, romilrege@example.com"
Mollitia officia,Saanvi Balan,saanvibalan@example.com,914400580475,Jadavpur University,"saanvibalan@example.com, zaramaharaj@example.com, aarushborah@example.com"
Facilis,Tanya Rout,tanyarout@example.com,4133189216,Jadavpur University,"tanyarout@example.com, keyagoswami@example.com"
Iure dolore,Keya Chaudhari,keyachaudhari@example.com,5874814825,Jadavpur University ,"keyachaudhari@example.com, nitarakumar@example.com"
Voluptatem illum,Neelofar Dugar,neelofardugar@example.com,9058597207,Jadavpur University ,"neelofardugar@example.com, urvideshpande@example.com"
Impedit nobis,Divyansh Venkataraman,divyanshvenkataraman@example.com,912619396215,Jadavpur University,"divyanshvenkataraman@example.com, divijbhatt@example.com, hazelchatterjee@example.com"
Quia,Anahi Ahuja,anahiahuja@example.com,5839334973,JADAVPUR UNIVERSITY,"anahiahuja@example.com, ryansule@example.com, zarawali@example.com"
Sed,Dhanush Sethi,dhanushsethi@example.com,918173423765,Jadavpur University,dhanushsethi@example.com
Porro earum,Anika Dani,anikadani@example.com,8389476791,Jadavpur University,"anikadani@example.com, yuvaanhans@example.com, reyanshbhatti@example.com"
Quam,Drishya Ram,drishyaram@example.com,916772011569,Jadavpur University ,"drishyaram@example.com, baijutripathi@example.com"
Ea illum,Tara Ramachandran,tararamachandran@example.com,5194068516,Jadavpur University,"tararamachandran@example.com, ojasagrawal@example.com"
Aliquam,Zain Karan,zainkaran@example.com,94401773,Jalpaiguri Government Engineering College,"zainkaran@example.com, adahmalhotra@example.com"
Dolores eum,Shayak Baria,shayakbaria@example.com,5707628016,Jadavpur University,shayakbaria@example.com
Maxime laboriosam,Charvi Bhatti,charvibhatti@example.com,9714008896,Jadavpur University,charvibhatti@example.com
